,WID,Label,Eth Balance,Txn Count,Exchange,ERC 20 Txn,ERC 20 Txn In,ERC 20 Txn Out,ERC721 Txn Out,ERC721 Txn In,ERC721 Txn
54,0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance 6,0.10383631 Ether,,Y,,,,,,
55,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,"1,996,008.34195866 Ether",,Y,,,,,,
56,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,"421,741.51469598 Ether",,Y,,,,,,
57,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance 9,"1,113.13702678 Ether",,Y,,,,,,
58,0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance JEX,48.99844623 Ether,,Y,,,,,,
59,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Binance-Peg Tokens,0.09691021 Ether,,Y,,,,,,
60,0x4b729cf402cfcffd057e254924b32241aedc1795,Bit-Z,0.50091 Ether,,Y,,,,,,
61,0x7c49e1c0e33f3efb57d64b7690fa287c8d15b90a,Bit2C,296.66476795 Ether,,Y,,,,,,
62,0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,Bitbee,0.35985826 Ether,,Y,,,,,,
63,0x5d375281582791a38e0348915fa9cbc6139e9c2a,BitBlinx,7.62403889 Ether,,Y,,,,,,
64,0x7a91a362d4f2c9c4627688d5b7090bbb12e5715f,Bitci,0.00005834 Ether,,Y,,,,,,
65,0x28ebe764b8f9a853509840645216d3c2c0fd774b,BiteBTC,0.10828084 Ether,,Y,,,,,,
66,0x7217d64f77041ce320c356d1a2185bcb89798a0a,Bitexlive,0.000027 Ether,,Y,,,,,,
67,0x57a47cfe647306a406118b6cf36459a1756823d0,Bitexlive 2,0.01823186 Ether,,Y,,,,,,
68,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,9.9617274 Ether,,Y,,,,,,
69,0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex 10,"177,328.30765968 Ether",,Y,,,,,,
70,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,"95,263.26323519 Ether",,Y,,,,,,
71,0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex 12,"34,740.37540505 Ether",,Y,,,,,,
72,0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,Bitfinex 13,"27,299.26292826 Ether",,Y,,,,,,
73,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,"541,049.98163229 Ether",,Y,,,,,,
74,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,"29,454.19595013 Ether",,Y,,,,,,
75,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,"123,587.69025187 Ether",,Y,,,,,,
76,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,"100,116.86592345 Ether",,Y,,,,,,
77,0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex 6,"91,851.42590191 Ether",,Y,,,,,,
78,0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex 7,"88,557.10429568 Ether",,Y,,,,,,
79,0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex 8,"75,026.12978599 Ether",,Y,,,,,,
80,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,"215,368.75591044 Ether",,Y,,,,,,
81,0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex: MultiSig 1,0.01470426 Ether,,Y,,,,,,
82,0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,0.14412363 Ether,,Y,,,,,,
83,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,"500,020.76046368 Ether",,Y,,,,,,
84,0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,"41,174.63545229 Ether",,Y,,,,,,
85,0xdf5021a4c1401f1125cd347e394d977630e17cf7,BITFRONT,263.9989784 Ether,,Y,,,,,,
86,0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb 1,0 Ether,,Y,,,,,,
87,0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb 10,0 Ether,,Y,,,,,,
88,0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb 11,0 Ether,,Y,,,,,,
89,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb 12,"200,000.664584 Ether",,Y,,,,,,
90,0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,0.02023213 Ether,,Y,,,,,,
91,0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3,0.0029 Ether,,Y,,,,,,
92,0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb 4,0 Ether,,Y,,,,,,
93,0xc1da8f69e4881efe341600620268934ef01a3e63,Bithumb 5,0 Ether,,Y,,,,,,
94,0xb4460b75254ce0563bb68ec219208344c7ea838c,Bithumb 6,0 Ether,,Y,,,,,,
95,0x15878e87c685f866edfaf454be6dc06fa517b35b,Bithumb 7,0 Ether,,Y,,,,,,
96,0x31d03f07178bcd74f9099afebd23b0ae30184ab5,Bithumb 8,0 Ether,,Y,,,,,,
97,0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb 9,0 Ether,,Y,,,,,,
98,0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb: Contract 1,16.59320371 Ether,,Y,,,,,,
99,0xdb044b8298e04d442fdbe5ce01b8cc8f77130e33,Bitkub Hot Wallet 1,"1,474.48677475 Ether",,Y,,,,,,
100,0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,0.199979 Ether,,Y,,,,,,
101,0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,BitMart 2,0.118737 Ether,,Y,,,,,,
102,0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX 1,1.47223034 Ether,,Y,,,,,,
103,0xfb8131c260749c7835a08ccbdb64728de432858e,BitMEX 2,10.7277832 Ether,,Y,,,,,,
104,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Bitrue,62.21884494 Ether,,Y,,,,,,
105,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1,281.24433589 Ether,,Y,,,,,,
106,0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,"8,647.03518461 Ether",,Y,,,,,,
107,0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3,"4,501.02 Ether",,Y,,,,,,
108,0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp 4,34.48287 Ether,,Y,,,,,,
109,0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,"29,017.48057762 Ether",,Y,,,,,,
110,0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp 6,1.5 Ether,,Y,,,,,,
111,0x964771f6df31eea2d927fa71d7bd78e81bcdce05,Bitstamp: Contract 1,0 Ether,,Y,,,,,,
112,0x1b8a38ea02ceda9440e00c1aeba26ee2dc570423,BITStorage,0.00061188 Ether,,Y,,,,,,
113,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,"6,090.81919033 Ether",,Y,,,,,,
114,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex 2,0 Ether,,Y,,,,,,
115,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,"206,099.65877678 Ether",,Y,,,,,,
